epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,16865.1,0.70918,1.94243,0.21523,0.32539,0.0119,0.30075,0.97807,0.9791,0.99227,0.89123,0.91943,0.89792,0.90388,0.7712,0.51519,1.21173,0.06582,0.18626,0.01114,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17176.9,0.70315,1.92556,0.21563,0.32662,0.01167,0.28073,0.9758,0.98163,0.99217,0.89279,0.9268,0.89712,0.9049,0.7767,0.50588,1.19697,0.06445,0.18878,0.0109,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17488.7,0.70471,1.9195,0.21205,0.32418,0.01172,0.26244,0.97797,0.97868,0.99209,0.89169,0.91452,0.89856,0.90279,0.77147,0.50692,1.2154,0.06084,0.18551,0.01086,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17801,0.69931,1.92215,0.21061,0.32008,0.0116,0.24079,0.98166,0.97539,0.99215,0.89354,0.91755,0.90195,0.90361,0.77701,0.50249,1.19569,0.06165,0.18608,0.0108,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18114.4,0.70347,1.88368,0.20857,0.31706,0.0117,0.21787,0.98096,0.97824,0.99243,0.89602,0.91683,0.89945,0.90268,0.77686,0.49704,1.2066,0.06028,0.18282,0.01067,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18426.7,0.69205,1.84595,0.20534,0.31844,0.01142,0.19048,0.97834,0.97866,0.99221,0.89485,0.92106,0.90009,0.90321,0.77797,0.49761,1.18028,0.05554,0.18559,0.01065,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18739.1,0.69174,1.8499,0.20431,0.309,0.01149,0.20103,0.97964,0.97821,0.99224,0.89555,0.9158,0.9006,0.90124,0.77542,0.49535,1.19723,0.05673,0.1789,0.0106,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19051,0.69031,1.88152,0.20586,0.32067,0.01149,0.28128,0.97657,0.98063,0.99219,0.89382,0.90589,0.90187,0.90031,0.77285,0.50118,1.20299,0.05588,0.18617,0.01075,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,19363.8,0.68262,1.85618,0.20484,0.31476,0.0113,0.21271,0.97765,0.98097,0.99242,0.8959,0.92245,0.90349,0.90518,0.77997,0.49939,1.17377,0.05529,0.18413,0.01075,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19675.1,0.67933,1.81663,0.20099,0.30848,0.01124,0.15031,0.9774,0.98092,0.99253,0.89584,0.92292,0.90034,0.90464,0.78012,0.49825,1.19007,0.05303,0.17896,0.01075,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
