epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,18327,0.5379,2.0383,0.18408,0.31727,1.0206,0.98126,0.98318,0.99276,0.90475,0.91181,0.89193,0.89061,0.75241,0.4581,1.37634,0.02834,0.21944,0.91292,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,18593.7,0.5297,1.97139,0.18243,0.31166,1.01692,0.98478,0.98305,0.99284,0.90543,0.92173,0.88849,0.89133,0.75466,0.45468,1.36638,0.02794,0.21825,0.91127,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,18860.5,0.53217,1.97814,0.18294,0.31338,1.01733,0.98379,0.98216,0.99285,0.90593,0.92593,0.89054,0.89211,0.75725,0.45403,1.34392,0.02808,0.21854,0.91185,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,19130,0.53077,1.97828,0.18119,0.31415,1.0153,0.98416,0.98305,0.99282,0.90578,0.92396,0.89195,0.89245,0.75759,0.45232,1.33972,0.02816,0.21818,0.90962,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,19398.3,0.52857,1.94226,0.17982,0.31064,1.01462,0.98291,0.98228,0.99276,0.9082,0.92673,0.89614,0.90191,0.75993,0.45111,1.3233,0.02723,0.2167,0.9087,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,19666.3,0.52841,1.95736,0.17981,0.31021,1.01429,0.98339,0.98203,0.99283,0.90745,0.91878,0.89234,0.89139,0.75924,0.45007,1.34514,0.0277,0.21409,0.90834,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,19936.3,0.52008,1.92305,0.17963,0.30492,1.01536,0.9829,0.98241,0.99283,0.90688,0.91785,0.89053,0.89096,0.75834,0.44906,1.34977,0.02723,0.21258,0.90859,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,20204,0.51943,1.91219,0.17737,0.30426,1.01144,0.98072,0.98394,0.99299,0.90868,0.91881,0.89125,0.89179,0.7609,0.44851,1.33896,0.02687,0.21151,0.90885,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,20472.1,0.51652,1.88629,0.17656,0.30194,1.01106,0.98303,0.98205,0.99295,0.90808,0.91671,0.89209,0.89222,0.76206,0.44738,1.33662,0.02675,0.21258,0.90834,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,20740.1,0.51276,1.87552,0.17534,0.30089,1.00729,0.98328,0.98171,0.99294,0.90908,0.91746,0.89244,0.89223,0.76233,0.44628,1.33242,0.02686,0.21189,0.908,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,21008.1,0.50997,1.83941,0.17349,0.29992,1.00617,0.98293,0.98382,0.99292,0.90917,0.91622,0.89336,0.89241,0.76257,0.44558,1.33154,0.02643,0.2114,0.90642,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,21275.9,0.50872,1.82057,0.17308,0.29611,1.00555,0.9837,0.98305,0.99295,0.90926,0.9192,0.89193,0.89258,0.76497,0.44511,1.33103,0.02661,0.21061,0.90601,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
