epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,13437.4,0.59188,2.4464,0.20757,0.36261,1.05101,0.9738,0.98292,0.99171,0.89166,0.89078,0.85969,0.85456,0.70792,0.50051,1.63235,0.04136,0.24746,0.94447,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13664.6,0.59752,2.47514,0.20842,0.36164,1.05391,0.97589,0.97995,0.99214,0.89185,0.8951,0.86562,0.86515,0.71246,0.49941,1.60845,0.03924,0.24355,0.9432,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13898.5,0.59107,2.41937,0.20645,0.35981,1.04949,0.9767,0.97936,0.99192,0.89225,0.89534,0.86211,0.86304,0.7147,0.49912,1.59575,0.03953,0.24715,0.93935,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14125.6,0.59521,2.44938,0.20649,0.36281,1.05134,0.9801,0.97923,0.99197,0.8927,0.89638,0.86432,0.86576,0.71884,0.49956,1.59491,0.04046,0.24388,0.94225,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14355.4,0.58876,2.41015,0.2051,0.35702,1.05158,0.97664,0.98016,0.99192,0.89203,0.89574,0.86071,0.86334,0.71568,0.49801,1.60689,0.03957,0.243,0.94216,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14583.9,0.59241,2.41018,0.20349,0.35871,1.05199,0.97623,0.98216,0.99199,0.89415,0.89458,0.8662,0.86446,0.71626,0.49102,1.5811,0.03828,0.24253,0.93676,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14811.1,0.58694,2.37466,0.202,0.35515,1.04895,0.9775,0.97976,0.99206,0.89427,0.90083,0.87281,0.86772,0.72004,0.49028,1.55644,0.03833,0.24224,0.93507,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15040.9,0.5838,2.35914,0.20276,0.35362,1.04796,0.97641,0.98099,0.9917,0.89384,0.89849,0.87081,0.8658,0.72034,0.49083,1.55307,0.03845,0.24234,0.93681,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15266.2,0.58651,2.37595,0.19959,0.35588,1.04927,0.97653,0.98104,0.99205,0.89458,0.89962,0.86632,0.86674,0.72111,0.48859,1.55875,0.03798,0.24074,0.93455,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15491.8,0.58297,2.35535,0.19841,0.35155,1.0468,0.97769,0.98101,0.992,0.89418,0.90376,0.87245,0.86746,0.72244,0.48666,1.54027,0.03872,0.23919,0.9335,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15717.5,0.57517,2.28975,0.19725,0.34516,1.04299,0.97777,0.98075,0.99222,0.89584,0.90444,0.87199,0.87355,0.72105,0.4844,1.54198,0.03714,0.2385,0.9336,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15943,0.57624,2.30026,0.19757,0.34807,1.04346,0.9779,0.98106,0.99235,0.89624,0.89864,0.86432,0.86314,0.72001,0.48431,1.56386,0.0366,0.23615,0.9329,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
